chrom	pos	cn	baf
11	1	1.953494542233947	0.5618952130362755
11	84482	1.9272730546728327	0.9129775193835944
11	168964	2.0663852237189637	0.0687779315199424
11	253446	2.183000190836741	0.4788708889461997
11	337928	2.1722008827980805	0.7822340145915193
11	422410	2.130733121178732	0.0381653163892903
11	506892	1.931653694248375	0.8107697382380287
11	591374	1.9805909848938117	0.8296757172573977
11	675856	2.050953321973964	0.5644457908815286
11	760338	1.9075250627981832	0.8457743308319071
11	844820	1.9187039511646	0.1380641410805302
11	929302	2.044936713413439	0.9950300960741552
11	1013784	1.836268172736512	0.0452838489105444
11	1098266	2.131112557446976	0.059297705196043
11	1182748	1.9518171840705716	0.4838094888470301
11	1267230	2.0648664408902797	0.6966336793216992
11	1351712	2.024817746662784	0.7213480527158462
11	1436193	2.1505027703892243	0.5594533558721554
11	1520675	1.7446181815539674	0.8480225117072409
11	1605157	2.151252963045848	0.5865572698453831
11	1689639	2.1485729999501157	0.8704721192541495
11	1774121	2.0337472642528542	0.1084182612102695
11	1858603	2.0625570033517	1.0
11	1943085	2.071565214550829	0.9037902341003464
11	2027567	1.8918690283803796	0.8944454452382474
11	2112049	2.006496860197712	0.3413921090908252
11	2196531	2.106801998975411	0.9366892296206756
11	2281013	1.785485768189755	0.1081187785850544
11	2365495	2.0565237009455646	0.0888319534610871
11	2449977	2.0104477850024485	0.3144502240085852
11	2534459	2.075281972520714	0.915649988453137
11	2618941	1.8473700285576808	0.99498907125912
11	2703423	1.910761295220128	0.5199325741052966
11	2787904	1.8324635101421891	0.703557849597003
11	2872386	1.8311738804219648	0.5557247848780429
11	2956868	2.099708657371401	0.0792200447761134
11	3041350	1.929334142052629	0.6417871652774503
11	3125832	1.9205153710428904	0.1698449324861143
11	3210314	2.130874212306645	0.6269481670946555
11	3294796	1.958781474617011	0.2832505095178816
11	3379278	2.115647089577666	0.2710372684505518
11	3463760	1.8740743558520605	0.6888095350899386
11	3548242	1.9584483242025128	0.4972570497286342
11	3632724	1.8913191296363776	0.8569517615433164
11	3717206	2.0657470520146477	0.7043719793780371
11	3801688	1.9751698212213096	0.2752677193068137
11	3886170	2.0877347199026817	0.7437887893025429
11	3970652	2.018342804237073	0.0562089443125138
11	4055134	1.7664838327660404	0.7490606959087541
11	4139616	1.9683112345649487	0.3468230772152231
11	4224097	1.815748695172133	0.3195969324163815
11	4308579	2.0415804637026023	0.5338953902227959
11	4393061	2.066621834892404	0.9016649748325066
11	4477543	2.079068976239497	0.2585956130976362
11	4562025	1.985257021460056	1.0
11	4646507	1.804147558300688	0.6021265611738384
11	4730989	2.025149849380112	0.2745046110591606
11	4815471	2.0488573197011872	0.7772469059347432
11	4899953	1.9780946445381145	0.7404640722682885
11	4984435	2.010258404395844	0.5121947519980304
11	5068917	1.7734488453613413	0.0733999495475593
11	5153399	2.007947860696107	0.7728682143706744
11	5237881	1.9869936256174765	0.7875208587861909
11	5322363	1.854472517896224	0.785913433229002
11	5406845	2.0633925004157225	0.7438606226900946
11	5491327	1.940687995620284	0.3935277676248869
11	5575808	2.0274942322816627	0.4707671564210833
11	5660290	2.058564901985673	0.6751240694039009
11	5744772	2.039456111411698	0.1918680383992516
11	5829254	1.8391059414219249	0.5921596014803462
11	5913736	1.9539074886026755	0.123247714758031
11	5998218	2.255535322696222	0.8346146607455615
11	6082700	2.1674641780233683	0.0828708771193549
11	6167182	2.1001424000621154	0.7890255826506546
11	6251664	2.032919004348145	0.2343815135971634
11	6336146	1.8814334771308456	0.9461701476807372
11	6420628	1.9805256831391664	0.6866287758847383
11	6505110	1.9493072786362224	0.4236801933266415
11	6589592	1.989836800336748	0.0383806570426014
11	6674074	1.8264222489742437	0.5986245249747678
11	6758556	2.1145397915757917	0.388395590982094
11	6843038	1.6776225990891216	0.7941339371798166
11	6927520	2.10285312412834	0.7964974274551122
11	7012001	2.1051474470632416	0.665413834305379
11	7096483	2.279220524619984	0.236994361868482
11	7180965	1.9700252389048745	0.145694868506876
11	7265447	1.937601465913534	0.5095569393764989
11	7349929	2.014441549476393	0.4510667859700883
11	7434411	2.067178227725636	0.6581387249355937
11	7518893	1.9891723391735687	0.5527143197482924
11	7603375	1.858034002210798	0.5386676552926921
11	7687857	2.0670238598101056	0.4659517169859053
11	7772339	1.999921133140573	0.4717250375778643
11	7856821	1.879017861087644	0.9005158868810698
11	7941303	1.805019264361606	0.1713320362952549
11	8025785	2.2962699848384114	0.0132611658423011
11	8110267	2.0998452198636537	0.2523841103698493
11	8194749	2.0671260172619896	0.3024079595428401
11	8279231	1.9862028412553976	0.6243298486077363
11	8363712	2.08279850451961	0.8474396579992313
11	8448194	1.8737258287539464	0.8103908464383749
11	8532676	2.023927741837642	0.9942655618960686
11	8617158	2.029159446987909	0.0288133335990575
11	8701640	1.8766955516913175	0.1826000550688317
11	8786122	1.9874665789118908	0.1005955047777266
11	8870604	1.950468369367359	0.6577111311588715
11	8955086	1.9083257965060036	0.4508280262706258
11	9039568	1.935337882181073	0.3084279414804338
11	9124050	1.7951775633104674	0.3277613362433009
11	9208532	2.1275367285044218	0.8702971559898015
11	9293014	2.187478677293777	0.0516095287453266
11	9377496	1.8888408017525	0.2569385924564101
11	9461978	2.133199043859765	0.510864297447074
11	9546460	1.996158572126472	0.3921162251140233
11	9630942	1.9987760303661428	0.7533893036334534
11	9715424	1.8445647045772904	0.593318503408569
11	9799905	1.9330718247448655	0.8378637134896212
11	9884387	2.06393727341233	0.878496304421866
11	9968869	1.8829591932667893	0.3925592049829415
11	10053351	1.9109972006936249	0.8439697059163744
11	10137833	1.9390265283652293	0.6281265778449135
11	10222315	1.5911263056156058	0.8944229199327599
11	10306797	2.039393066092313	0.5339368219569467
11	10391279	2.0764361464089087	0.0
11	10475761	2.043750785618779	0.6584019049325921
11	10560243	2.113140138079705	0.9478710916697596
11	10644725	1.946716439849835	0.919433861810647
11	10729207	2.217342502998639	0.2032457680605671
11	10813689	1.8986253311540529	0.4664640697569387
11	10898171	1.9730630581271476	0.8245845376707126
11	10982653	1.9612130734592184	0.4225920195799647
11	11067135	2.0223552855985854	0.5295506156821337
11	11151616	1.9712513168156385	0.9849664717914453
11	11236098	1.9876478683199592	0.4622022088109093
